iteration,wall_time_s,n_trajectories,pareto_front_size,best_obj0,best_obj1,mean_episode_return_obj0,mean_episode_return_obj1,target_obj0,target_obj1,bc_loss_mean,bc_loss_last
139,42.227,200,8,1.3558048009872437,-1.4861934185028076,-0.8249471783638,-1.9481234550476074,-0.4195866882801056,-1.3703609704971313,5.118031711578369,5.1350178718566895
140,42.53,200,8,1.3558048009872437,-1.4861934185028076,-0.8249471783638,-1.9481234550476074,2.068244457244873,-2.1587305068969727,5.0988400936126705,5.11971378326416
141,42.843,200,8,1.3558048009872437,-1.4861934185028076,-0.8209328651428223,-1.9543523788452148,0.936237633228302,-1.7977365255355835,5.087516374588013,5.0215983390808105
142,43.147,200,8,1.3558048009872437,-1.4861934185028076,-0.8209328651428223,-1.9543523788452148,1.4885333776474,-2.083665609359741,5.132046756744384,5.113918781280518
143,43.459,200,9,1.3558048009872437,-1.563902497291565,-0.8090013265609741,-1.965110182762146,-0.3943215310573578,-1.5990175008773804,5.125089063644409,5.22109842300415
144,43.761,200,9,1.3558048009872437,-1.563902497291565,-0.8090013265609741,-1.965110182762146,1.533613681793213,-1.9453409910202026,5.124544973373413,5.004541397094727
145,44.073,200,9,1.3558048009872437,-1.563902497291565,-0.7870482802391052,-1.9736623764038086,0.9823386669158936,-1.8780211210250854,5.134281902313233,4.9354095458984375
146,44.377,200,9,1.3558048009872437,-1.563902497291565,-0.7870482802391052,-1.9736623764038086,1.5497159957885742,-2.113905191421509,5.13961181640625,5.099027156829834
147,44.689,200,9,1.3558048009872437,-1.563902497291565,-0.775226891040802,-1.9813119173049927,1.4705926179885864,-2.1399033069610596,5.149221000671386,5.189624786376953
148,44.992,200,9,1.3558048009872437,-1.563902497291565,-0.775226891040802,-1.9813119173049927,-1.0139631032943726,-1.5505450963974,5.159032669067383,5.108421802520752
149,45.304,200,9,1.3558048009872437,-1.563902497291565,-0.759104311466217,-1.9790222644805908,-1.0746434926986694,-1.4804831743240356,5.150462293624878,5.066510200500488
150,45.668,200,9,1.3558048009872437,-1.563902497291565,-0.759104311466217,-1.9790222644805908,-1.1424450874328613,-1.5360733270645142,5.143618783950806,5.09257698059082
151,46.05,200,9,1.3558048009872437,-1.563902497291565,-0.739870548248291,-1.9879611730575562,1.9544789791107178,-2.147392511367798,5.180108470916748,5.246779918670654
152,46.358,200,9,1.3558048009872437,-1.563902497291565,-0.739870548248291,-1.9879611730575562,0.46498557925224304,-1.6563632488250732,5.154405345916748,5.190096378326416
153,46.671,200,9,1.3558048009872437,-1.563902497291565,-0.7476978302001953,-1.9901270866394043,-0.6696898341178894,-1.5010533332824707,5.176303424835205,5.260796070098877
154,46.976,200,9,1.3558048009872437,-1.563902497291565,-0.7476978302001953,-1.9901270866394043,-0.7468305230140686,-1.4010618925094604,5.172967805862426,5.225032329559326
155,47.288,200,7,1.3558048009872437,-1.6641775369644165,-0.7369331121444702,-1.998838186264038,1.2756857872009277,-1.9449416399002075,5.167744026184082,5.171252250671387
156,47.592,200,7,1.3558048009872437,-1.6641775369644165,-0.7369331121444702,-1.998838186264038,-0.6110918521881104,-1.6042782068252563,5.198648538589477,5.261602401733398
157,47.904,200,7,1.3558048009872437,-1.6641775369644165,-0.7275649309158325,-1.9998626708984375,1.0623506307601929,-1.9566363096237183,5.147366285324097,5.194297790527344
158,48.208,200,7,1.3558048009872437,-1.6641775369644165,-0.7275649309158325,-1.9998626708984375,1.4908074140548706,-2.126140594482422,5.139374408721924,5.090911388397217
159,48.572,200,7,1.3558048009872437,-1.6641775369644165,-0.7137404084205627,-2.0088083744049072,-0.5724402070045471,-1.6533881425857544,5.183645696640014,5.286555767059326
160,48.875,200,7,1.3558048009872437,-1.6641775369644165,-0.7137404084205627,-2.0088083744049072,1.4921554327011108,-2.0974090099334717,5.1710672950744625,5.196784496307373
161,49.197,200,6,1.3909614086151123,-1.7181886434555054,-0.6902785301208496,-2.0188934803009033,0.6855892539024353,-1.8280600309371948,5.220255393981933,5.252692699432373
162,49.505,200,6,1.3909614086151123,-1.7181886434555054,-0.6902785301208496,-2.0188934803009033,1.2021719217300415,-1.887604832649231,5.2012505531311035,5.2552690505981445
163,49.817,200,6,1.3909614086151123,-1.7181886434555054,-0.6959484815597534,-2.019366502761841,1.4002130031585693,-2.0910563468933105,5.189088382720947,5.251254558563232
